City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alofi,97,NU,1586382272,88,-19.06,-169.92,80.6,13.87
Progreso,5,MX,1586382272,20,21.28,-89.67,105.01,10.29
Cape Town,3,ZA,1586381986,62,-33.93,18.42,61.0,4.7
Avarua,75,CK,1586382272,83,-21.21,-159.78,84.2,17.22
Arraial do Cabo,90,BR,1586382273,88,-22.97,-42.03,71.6,5.82
Businga,100,CD,1586382273,85,3.33,20.88,73.8,3.15
Tura,0,IN,1586382273,48,25.52,90.22,72.32,5.7
Lüderitz,34,NA,1586382273,93,-26.65,15.16,57.2,1.12
Chazuta,75,PE,1586382274,100,-6.57,-76.14,62.6,4.7
Honningsvåg,90,NO,1586382274,96,70.98,25.97,33.8,17.22
Hobart,0,AU,1586382247,87,-42.88,147.33,45.0,4.7
Chokurdakh,45,RU,1586382275,90,70.63,147.92,-12.44,6.02
Sarmanovo,99,RU,1586382275,59,55.26,52.59,35.6,11.18
Port Elizabeth,76,ZA,1586382100,87,-33.92,25.57,60.8,8.05
Airai,96,TL,1586382276,68,-8.93,125.41,60.66,1.28
Hualmay,2,PE,1586382276,64,-11.1,-77.61,78.06,10.6
Thaba Nchu,0,ZA,1586382276,87,-29.21,26.84,55.4,5.82
College,75,US,1586382276,41,64.86,-147.8,28.99,8.05
Kuytun,0,RU,1586382277,63,54.34,101.5,36.91,9.46
Tessalit,0,ML,1586382277,11,20.2,1.01,81.05,6.02
Wonthaggi,0,AU,1586382277,91,-38.6,145.59,57.99,4.0
Severo-Kuril'sk,100,RU,1586382277,97,50.68,156.12,31.55,7.58
Banda Aceh,95,ID,1586382278,82,5.56,95.32,79.61,5.82
Ugoofaaru,12,MV,1586382278,74,5.67,73.0,84.6,8.28
Ngunguru,63,NZ,1586382278,76,-35.62,174.5,64.0,7.0
Saint-Philippe,75,RE,1586382278,78,-21.36,55.77,77.0,6.93
Batemans Bay,53,AU,1586382279,95,-35.72,150.18,57.99,3.0
Sherbakul',14,RU,1586382279,73,54.63,72.4,26.6,11.18
Saint-Pierre,75,RE,1586382279,78,-21.34,55.48,77.0,6.93
Darhan,0,MN,1586382279,48,49.49,105.92,39.87,4.0
Jardim,0,BR,1586382280,55,-21.48,-56.14,74.19,4.25
Qaanaaq,100,GL,1586382280,85,77.48,-69.36,16.61,9.44
Kaitangata,100,NZ,1586382280,67,-46.28,169.85,52.0,1.99
Chapais,1,CA,1586382280,29,49.78,-74.85,33.8,6.93
Prieska,1,ZA,1586382280,20,-29.66,22.75,62.92,7.11
Arrondissement de Cognac,2,FR,1586382281,63,45.5,-0.25,64.4,2.24
Iquitos,90,PE,1586382074,94,-3.75,-73.25,77.0,8.05
Yablonovo,0,RU,1586382281,60,50.85,37.36,42.8,11.18
Haines Junction,100,CA,1586382281,78,60.75,-137.51,28.29,7.18
Dikson,100,RU,1586382282,98,73.51,80.55,21.47,20.42
Ostrovnoy,100,RU,1586382282,87,68.05,39.51,35.51,21.72
Tutóia,40,BR,1586382282,83,-2.76,-42.27,84.2,9.17
Kavieng,11,PG,1586382282,75,-2.57,150.8,82.99,5.48
Koani,88,TZ,1586382282,76,-6.13,39.28,83.3,9.15
Thompson,75,CA,1586382283,91,55.74,-97.86,32.0,9.17
Port Hardy,40,CA,1586382283,70,50.7,-127.42,46.4,5.82
Gisborne,100,NZ,1586382283,76,-38.65,178.0,60.55,8.97
Hermanus,12,ZA,1586382283,75,-34.42,19.23,60.01,5.01
New Norfolk,0,AU,1586382284,87,-42.78,147.06,45.0,4.7
Ancud,0,CL,1586382284,40,-41.87,-73.82,71.6,8.05
Kachug,0,RU,1586382284,71,53.96,105.88,33.96,1.19
Hong Kong,20,HK,1586382284,72,22.29,114.16,68.0,6.93
Albany,75,US,1586382003,41,42.6,-73.97,59.0,5.82
Saskylakh,97,RU,1586382285,98,71.92,114.08,22.84,3.87
Vanavara,0,RU,1586382285,84,60.34,102.28,32.79,4.47
Mto wa Mbu,84,TZ,1586382285,61,-3.35,35.85,69.89,5.1
Iberia,20,US,1586382285,70,29.95,-91.75,84.2,11.41
Kang,0,BW,1586382286,20,-23.68,22.79,70.14,6.98
Cayenne,75,GF,1586382286,74,4.93,-52.33,84.2,10.29
Nuuk,20,GL,1586382286,58,64.18,-51.72,28.4,13.87
Yakeshi,99,CN,1586382286,68,49.28,120.73,31.15,1.77
Vaini,90,TO,1586382287,100,-21.2,-175.2,77.0,43.62
Andros Town,40,BS,1586382287,74,24.7,-77.77,82.0,6.93
Clyde River,20,CA,1586382287,85,70.47,-68.59,12.2,5.97
Khandyga,100,RU,1586382287,97,62.67,135.6,26.37,2.46
San Cristobal,40,VE,1586382110,59,7.77,-72.22,89.6,11.41
Mar del Plata,0,AR,1586382156,67,-38.0,-57.56,57.99,11.41
San Jose,75,US,1586382065,59,37.34,-121.89,69.01,8.05
Kununurra,75,AU,1586382288,73,-15.77,128.73,71.6,1.12
Camacha,75,PT,1586382289,93,33.08,-16.33,68.0,11.41
Khani,0,GE,1586382289,45,41.96,42.96,46.4,23.04
Poconé,94,BR,1586382267,71,-16.26,-56.62,81.43,2.77
Faya,0,SA,1586382289,63,18.39,42.45,66.2,4.7
Broken Hill,0,AU,1586382289,71,-31.95,141.43,50.0,4.7
Tiksi,33,RU,1586382290,91,71.69,128.87,5.13,4.76
Butaritari,45,KI,1586382290,79,3.07,172.79,84.04,15.84
Aklavik,20,CA,1586382290,48,68.22,-135.01,23.0,3.36
Enshi,0,CN,1586382290,65,30.3,109.48,55.49,1.45
Severo-Yeniseyskiy,100,RU,1586382291,83,60.37,93.04,30.0,10.02
Merauke,94,ID,1586382291,92,-8.47,140.33,75.74,6.87
Rubiataba,80,BR,1586381996,74,-15.16,-49.8,76.46,3.94
Dunedin,100,NZ,1586382265,67,-45.87,170.5,54.0,1.99
Phuthaditjhaba,79,ZA,1586382291,48,-28.52,28.82,48.31,5.97
Cherskiy,51,RU,1586382292,91,68.75,161.3,-2.92,14.9
Coquimbo,90,CL,1586382292,72,-29.95,-71.34,64.4,8.05
Khatanga,100,RU,1586382292,97,71.97,102.5,29.37,11.61
Port Alfred,100,ZA,1586382292,64,-33.59,26.89,65.5,16.64
Carnarvon,59,AU,1586382292,94,-24.87,113.63,69.8,4.7
Sulina,0,RO,1586382293,54,45.16,29.65,47.17,4.38
Malinovskiy,59,RU,1586382293,93,61.2,62.84,20.25,10.2
Provideniya,46,RU,1586382293,72,64.38,-173.3,10.4,11.18
São Gabriel da Cachoeira,93,BR,1586382293,91,-0.13,-67.09,80.49,3.58
Lebu,3,CL,1586382294,65,-37.62,-73.65,62.62,3.76
Hambantota,15,LK,1586382294,79,6.12,81.12,79.7,5.01
Westport,90,US,1586382184,76,41.14,-73.36,64.99,6.93
Balagansk,0,RU,1586382294,72,54.01,103.05,34.14,6.38
Jalu,100,LY,1586382294,32,29.03,21.55,67.95,7.83
Grândola,100,PT,1586382295,93,38.18,-8.57,60.8,3.36
Coihueco,0,CL,1586382295,23,-36.62,-71.83,82.4,2.24
Wanganui,11,NZ,1586382256,70,-39.93,175.05,59.0,34.0
Köflach,0,AT,1586382295,56,47.07,15.08,53.01,3.36
Tual,99,ID,1586382296,72,-5.67,132.75,82.92,6.17
Bengkulu,84,ID,1586382296,80,-3.8,102.27,77.23,4.52
Tonj,100,SS,1586382296,61,7.27,28.68,80.37,4.92
Sheridan,1,US,1586382297,37,44.83,-106.92,50.0,17.22
Castro,0,BR,1586382297,48,-24.79,-50.01,63.07,2.15
Tocopilla,13,CL,1586382297,38,-22.09,-70.2,80.55,6.04
Ixtapa,75,MX,1586382297,74,20.7,-105.2,80.6,13.87
Yara,0,CU,1586382297,37,20.28,-76.95,92.14,6.08
Sheltozero,100,RU,1586382298,68,61.37,35.37,40.19,17.27
Porto-Novo,40,BJ,1586382298,79,6.5,2.6,84.2,11.41
Marawi,75,PH,1586382298,71,8.0,124.29,67.23,2.39
Geraldton,10,AU,1586382298,88,-28.77,114.6,64.4,9.17
Tasiilaq,2,GL,1586382299,79,65.61,-37.64,26.6,10.29
Viesca,75,MX,1586382299,18,25.35,-102.8,89.6,4.7
Saint Paul Harbor,1,US,1586382299,55,57.79,-152.41,35.6,19.46
Podporozh'ye,96,RU,1586382299,73,60.91,34.17,37.53,9.42
Kirillov,85,RU,1586382300,86,59.86,38.38,34.95,5.55
Mount Isa,100,AU,1586382300,33,-20.73,139.5,73.4,5.82
Masvingo,100,ZW,1586382300,64,-20.06,30.83,64.06,11.92
Kichera,0,RU,1586382300,65,55.94,110.1,32.45,2.73
Kisanga,99,TZ,1586382300,89,-7.44,37.7,73.17,1.12
Kenora,90,CA,1586382301,59,49.82,-94.43,35.6,13.87
Richards Bay,95,ZA,1586382301,74,-28.78,32.04,67.53,2.17
Gushikawa,20,JP,1586382301,93,26.35,127.87,66.2,3.36
Lagoa,0,PT,1586382301,86,39.05,-27.98,60.96,11.3
Bereket,11,TM,1586382302,48,39.24,55.52,44.38,8.08
Cidreira,37,BR,1586382302,71,-30.18,-50.21,65.1,15.86
Marzuq,0,YE,1586382302,25,14.4,46.47,73.58,4.27
Lata,40,PT,1586382302,93,40.16,-8.33,62.01,2.24
Kanniyākumāri,28,IN,1586382303,80,8.08,77.57,82.58,13.06
Butajīra,1,ET,1586382303,32,8.12,38.37,64.29,4.94
Portland,1,US,1586382037,42,45.52,-122.68,71.01,12.75
Coolum Beach,100,AU,1586382303,91,-26.53,153.1,68.0,1.01
Quang Ngai,94,VN,1586382304,89,15.12,108.8,74.21,9.01
Broome,90,US,1586382304,58,42.25,-75.83,57.99,11.41
Zlobin,0,HR,1586382304,50,45.29,14.65,51.01,1.01
Bowen,6,AU,1586382110,94,-20.02,148.23,73.99,4.7
Lavumisa,75,SZ,1586382305,76,-27.31,31.89,64.11,1.92
Karaton,40,ID,1586382305,88,-6.34,106.1,78.8,5.82
Taoudenni,0,ML,1586382305,12,22.68,-3.98,84.27,12.15
Corpus Christi,75,US,1586382305,59,27.8,-97.4,95.0,10.29
Khanbari,7,NP,1586382306,21,27.37,87.2,65.01,6.11
Longyearbyen,20,SJ,1586382306,69,78.22,15.64,-7.6,3.36
São Filipe,0,CV,1586382306,64,14.9,-24.5,77.11,16.71
Faanui,69,PF,1586382306,75,-16.48,-151.75,83.16,13.11
Aksarka,100,RU,1586382307,97,66.56,67.8,18.66,9.64
Berlevåg,75,NO,1586382307,74,70.86,29.09,33.8,18.34
Zhigansk,100,RU,1586382307,97,66.77,123.37,30.15,12.08
East London,100,ZA,1586382300,63,-33.02,27.91,66.34,11.79
Sechura,28,PE,1586382307,64,-5.56,-80.82,79.12,11.18
Sisimiut,0,GL,1586382308,90,66.94,-53.67,24.26,5.23
Yulara,0,AU,1586382114,50,-25.24,130.99,57.2,5.82
Abu Kamal,100,SY,1586382308,45,34.45,40.92,68.97,7.11
Sorong,16,ID,1586382309,85,-0.88,131.25,77.52,4.25
Nome,90,US,1586382309,84,64.5,-165.41,6.01,3.36
Itarema,75,BR,1586382309,88,-2.92,-39.92,79.2,9.89
Almazar,90,UZ,1586382309,82,40.32,69.01,33.8,22.37
Salalah,0,OM,1586382310,83,17.02,54.09,80.6,3.36
Calabar,91,NG,1586382310,85,4.95,8.32,80.6,3.6
Swan River,100,CA,1586382310,90,52.11,-101.27,28.17,16.22
Pochutla,20,MX,1586382311,44,15.74,-96.47,95.0,13.87
Ubari,12,LY,1586382311,26,26.59,12.78,65.32,5.44
Port Said,36,EG,1586382311,70,31.26,32.28,61.3,2.95
Saint-Louis,0,SN,1586382311,26,16.33,-15.0,91.4,11.39
Kumul,0,CN,1586382066,22,42.8,93.45,59.95,5.86
Waingapu,20,ID,1586382312,79,-9.66,120.26,78.53,3.44
Kamariótissa,2,GR,1586382314,53,40.48,25.47,51.8,21.92
Alekseyevka,10,RU,1586382314,79,50.63,38.69,45.05,7.34
Saint George,90,US,1586382248,32,37.1,-113.58,68.0,19.46
Guerrero Negro,99,MX,1586382315,59,27.98,-114.06,66.78,15.7
Lavrentiya,7,RU,1586382315,89,65.58,-171.0,7.54,7.94
Katsuura,20,JP,1586382316,77,35.13,140.3,59.0,11.41
Caravelas,81,BR,1586382316,84,-17.71,-39.25,79.74,10.71
Avera,1,US,1586382317,65,33.19,-82.53,84.0,6.93
Sakakah,84,SA,1586382317,21,29.97,40.21,71.6,11.41
Rawson,0,AR,1586382317,28,-43.3,-65.1,71.85,25.17
Zhangaözen,2,KZ,1586382318,68,43.3,52.8,38.61,7.2
Wuda,39,CN,1586382318,27,39.5,106.71,48.76,4.5
Sitka,90,US,1586382319,86,57.05,-135.33,41.0,16.11
Devonport,52,AU,1586382319,88,-41.17,146.35,55.0,4.29
Hobyo,3,SO,1586382319,63,5.35,48.53,82.53,12.03
Husavik,2,IS,1586382320,85,66.04,-17.34,21.2,4.7
Kupang,40,ID,1586382320,94,-10.17,123.58,73.4,3.36
Klaksvík,43,FO,1586382320,74,62.23,-6.59,37.4,5.82
Mikuni,40,JP,1586382321,93,36.22,136.15,42.8,2.24
Vila Velha,90,BR,1586382321,94,-20.33,-40.29,71.6,13.87
Hasaki,20,JP,1586382321,87,35.73,140.83,50.0,6.93
Puri,40,IN,1586382322,69,19.8,85.85,73.4,8.05
Puerto Escondido,40,MX,1586382322,75,15.85,-97.07,89.6,9.17
Edéa,75,CM,1586382323,88,3.8,10.13,77.0,3.36
Kaspiysk,40,RU,1586382050,63,42.88,47.64,39.2,8.95
Pierre,1,US,1586382083,23,44.37,-100.35,54.0,21.92
Cap Malheureux,75,MU,1586382212,83,-19.98,57.61,79.0,10.29
Bandarbeyla,18,SO,1586382324,64,9.49,50.81,80.67,6.44
Stornoway,3,GB,1586382324,80,58.21,-6.39,37.0,1.12
Torbay,75,CA,1586382324,50,47.67,-52.73,34.0,11.41
Tingi,96,TZ,1586382325,66,-11.3,35.03,65.08,6.89
Strezhevoy,40,RU,1586382325,73,60.73,77.59,24.8,22.37
Pitkyaranta,92,RU,1586382325,72,61.57,31.48,39.04,17.45
Ust-Nera,35,RU,1586382326,85,64.57,143.2,13.93,1.23
Victor Harbor,1,AU,1586382326,87,-35.57,138.62,54.0,5.14
Taboshar,90,TJ,1586382326,69,40.57,69.64,33.8,22.37
Chara,30,RU,1586382326,83,56.91,118.26,24.19,1.5
Acajutla,6,SV,1586382327,70,13.59,-89.83,88.0,3.0
Pacific Grove,75,US,1586382327,63,36.62,-121.92,62.01,14.99
Gayéri,15,BF,1586382048,33,12.65,0.49,88.79,7.87
Menongue,0,AO,1586382328,47,-14.66,17.69,64.8,3.42
Talnakh,100,RU,1586382328,92,69.49,88.4,32.0,17.9
Kiryat Gat,20,IL,1586382328,72,31.61,34.76,59.0,4.7
Kitimat,90,CA,1586382310,34,54.05,-128.65,48.2,14.99
Coswig,0,DE,1586382329,32,51.13,13.58,53.6,8.05
Harper,41,LR,1586382329,81,4.38,-7.72,81.72,5.93
Norman Wells,75,CA,1586382330,46,65.28,-126.83,28.4,14.99
Port Hawkesbury,75,CA,1586382330,40,45.62,-61.35,39.0,10.29
Mānsa,26,IN,1586382330,33,29.98,75.38,68.99,5.53
Phan Thiet,86,VN,1586382331,86,10.93,108.1,78.19,4.47
Krasnokamensk,99,RU,1586382331,63,50.1,118.04,30.6,2.77
Nizhniy Baskunchak,64,RU,1586382331,55,48.22,46.83,42.46,14.05
Saint Paul,1,US,1586382194,24,44.94,-93.09,55.99,18.34
Thetford Mines,86,CA,1586382332,60,46.09,-71.3,37.0,3.0
Nsunga,97,TZ,1586382332,61,-1.14,31.39,63.09,3.24
Kaniama,73,CD,1586382332,72,-7.57,24.18,69.08,2.04
Beloha,43,MG,1586382333,85,-25.17,45.05,73.0,8.03
Baculin,5,PH,1586382333,78,7.45,126.58,77.16,4.61
Lleida,10,ES,1586382333,93,41.62,0.62,57.0,3.36
Nishihara,40,JP,1586382334,68,26.18,127.76,66.2,1.12
Jena,0,DE,1586382065,53,50.93,11.58,55.0,9.17
Huarmey,7,PE,1586382334,61,-10.07,-78.15,79.84,9.69
Nador,90,MA,1586382161,77,35.17,-2.93,62.6,4.7
Baykit,100,RU,1586382335,84,61.67,96.37,38.98,7.23
Vostok,100,RU,1586382335,87,46.49,135.88,20.75,2.39
Narsaq,98,GL,1586382335,32,60.92,-46.05,41.0,2.24
Acapulco de Juárez,40,MX,1586382337,70,16.86,-99.89,86.0,9.17
Porbandar,0,IN,1586382337,86,21.64,69.61,76.01,9.19
Pinega,92,RU,1586382337,88,64.7,43.39,34.97,8.9
Setermoen,100,NO,1586382337,86,68.86,18.35,36.0,36.91
Vila Franca do Campo,20,PT,1586382338,93,37.72,-25.43,60.8,9.17
Petatlán,40,MX,1586382338,52,17.52,-101.27,89.6,11.41
Maniitsoq,88,GL,1586382338,90,65.42,-52.9,27.66,8.95
Byron Bay,75,AU,1586382338,100,-28.65,153.62,73.0,11.41
Adamovka,11,RU,1586382338,89,51.52,59.94,28.69,7.38
Okhotsk,5,RU,1586382339,90,59.38,143.3,24.53,17.22
Manavālakurichi,20,IN,1586382339,74,8.13,77.3,80.6,3.36
Karonga,99,MW,1586382339,72,-9.93,33.93,74.73,2.55
Bandrele,38,YT,1586382340,83,-12.91,45.19,82.4,8.05
Qandala,25,SO,1586382340,53,11.47,49.87,83.66,9.44
Pachino,36,IT,1586382340,76,36.72,15.09,55.4,3.36
Kahului,40,US,1586382209,58,20.89,-156.47,82.4,9.17
Răsuceni,0,RO,1586382340,49,44.09,25.66,52.0,2.24
Samarai,9,PG,1586382341,81,-10.62,150.67,80.13,5.86
Umeå,100,SE,1586382341,69,63.83,20.26,37.99,5.82
Katobu,96,ID,1586382341,91,-4.94,122.53,74.95,0.78
Tateyama,0,JP,1586382342,71,34.98,139.87,55.99,10.29
Torit,0,SS,1586382342,37,4.41,32.57,81.97,4.7
Saldanha,0,ZA,1586382301,44,-33.01,17.94,59.0,6.93
Grand Bank,100,CA,1586382343,95,47.1,-55.77,29.97,13.67
Griffith,1,US,1586382085,72,41.53,-87.42,77.0,11.41
Mahébourg,75,MU,1586382343,83,-20.41,57.7,79.0,10.29
Kogon,96,UZ,1586382344,93,39.72,64.55,39.2,13.87
Port Lincoln,85,AU,1586382344,76,-34.73,135.87,60.03,8.03
Burnie,55,AU,1586382344,88,-41.07,145.92,55.0,5.1
Serenje,67,ZM,1586382286,62,-13.23,30.24,62.92,5.44
Kaili,100,ID,1586382344,71,-3.46,120.21,70.84,4.21
Sola,75,VU,1586382345,94,-13.88,167.55,82.4,0.65
Dombarovskiy,84,RU,1586382345,87,50.76,59.54,30.24,7.38
Kapoeta,4,SS,1586382345,33,4.77,33.59,86.76,13.94
Cabo San Lucas,90,MX,1586382282,50,22.89,-109.91,84.99,14.99
Chui,43,UY,1586382346,74,-33.7,-53.46,61.97,14.36
Krasnosel'kup,98,RU,1586382346,96,65.7,82.47,25.23,18.66
Virginia Beach,75,US,1586381920,36,36.85,-75.98,84.2,14.99
Oddur,1,SO,1586382346,57,4.12,43.89,78.66,17.18
Ganzhou,19,CN,1586382346,70,28.82,115.43,59.32,2.13
Kavaratti,4,IN,1586382347,66,10.57,72.64,83.52,8.77
San Quintín,0,MX,1586382347,59,30.48,-115.95,60.1,11.88
Kwinana,3,AU,1586382347,82,-32.25,115.77,64.0,4.25
Salair,100,RU,1586382347,82,54.23,85.8,33.67,2.55
Ayan,39,RU,1586382348,86,56.45,138.17,33.08,9.35
Nakambala,48,ZM,1586382348,58,-15.83,27.78,68.5,5.23
Benghazi,98,LY,1586382348,63,32.12,20.07,58.68,14.9
Doka,0,SD,1586382348,19,13.52,35.77,88.59,2.04
Murray Bridge,0,AU,1586382133,99,-35.12,139.27,52.0,3.71
Beringovskiy,0,RU,1586382349,88,63.05,179.32,12.92,1.9
Susanville,75,US,1586382349,31,40.42,-120.65,64.4,12.75
Malakal,47,SS,1586382349,30,9.53,31.66,90.72,5.93
Havelock,1,US,1586382350,51,34.88,-76.9,88.0,13.87
Tompa,0,HU,1586382350,62,46.21,19.54,46.99,2.21
Río Gallegos,0,AR,1586382350,24,-51.62,-69.22,80.6,12.75
Dalby,90,AU,1586382350,72,-27.18,151.27,66.99,10.29
Olecko,57,PL,1586382180,94,54.03,22.51,44.01,6.08
Kalach-na-Donu,12,RU,1586382351,29,48.69,43.53,39.2,15.66
Jiutai,40,CN,1586382351,94,44.15,125.83,32.0,2.24
Ahipara,68,NZ,1586382351,67,-35.17,173.17,64.15,17.34
Zatoka,0,UA,1586382352,52,46.07,30.47,41.0,4.47
Bratsk,0,RU,1586382352,44,56.13,101.61,37.4,8.95
Vardø,40,NO,1586382352,69,70.37,31.11,35.6,18.34
Anadyr,40,RU,1586382352,72,64.75,177.48,10.4,4.47
Ponta do Sol,40,PT,1586382353,82,32.67,-17.1,68.0,1.12
Goderich,6,CA,1586382353,78,43.75,-81.72,61.0,2.37
Vanimo,95,PG,1586382353,83,-2.67,141.3,78.1,5.06
Lorengau,63,PG,1586382354,79,-2.02,147.27,81.21,4.0
Macapá,75,BR,1586382354,100,0.04,-51.07,80.6,3.36
Paamiut,97,GL,1586382354,83,61.99,-49.67,32.86,6.02
Ixtaczoquitlán,66,MX,1586382354,31,18.85,-97.07,85.71,5.19
San Policarpo,18,PH,1586382355,81,12.18,125.51,80.26,7.87
Puerto Madryn,0,AR,1586382069,22,-42.77,-65.04,72.0,25.93
Pitimbu,4,BR,1586382355,83,-7.47,-34.81,80.6,6.93
Forsytheganj,15,BY,1586382355,72,52.63,29.73,43.93,1.1
Ilulissat,0,GL,1586382350,52,69.22,-51.1,19.4,2.24
Nioro,0,GM,1586382356,35,13.35,-15.75,81.75,13.58
Port Macquarie,90,AU,1586382356,100,-31.43,152.92,63.0,5.93
Hirara,94,JP,1586382356,79,24.8,125.28,69.78,18.05
Newcastleton,75,GB,1586382357,75,55.18,-2.81,50.0,6.93
Ibotirama,90,BR,1586382357,73,-12.19,-43.22,78.53,1.7
Grand Gaube,75,MU,1586382357,83,-20.01,57.66,79.0,10.29
Konstantinovka,0,RU,1586382357,93,49.62,127.98,30.0,8.72
Iqaluit,5,CA,1586382358,72,63.75,-68.51,14.0,4.7
Moree,75,AU,1586382358,72,-29.47,149.85,64.4,8.05
Elvas,100,PT,1586382297,82,38.88,-7.16,66.2,3.36
Poum,1,NC,1586382358,76,-20.23,164.02,78.87,15.21
Paralímni,20,CY,1586382358,87,35.04,33.98,53.6,3.36
Guymon,1,US,1586382359,14,36.68,-101.48,82.4,18.34
Dhidhdhoo,0,MV,1586382359,70,6.88,73.1,84.61,5.93
Caucaia,40,BR,1586382359,74,-3.74,-38.65,84.2,9.17
Kruisfontein,78,ZA,1586382359,68,-34.0,24.73,59.47,16.11
Sobolevo,0,RU,1586382360,79,54.43,31.9,41.54,4.97
Bambous Virieux,75,MU,1586382360,83,-20.34,57.76,79.0,10.29
Colac,18,AU,1586382360,97,-38.33,143.58,55.0,4.63
Kawalu,83,ID,1586382360,80,-7.38,108.21,73.26,2.13
Nova Prata,0,BR,1586382361,44,-28.78,-51.61,57.0,3.87
Buchanan,40,LR,1586382160,88,5.88,-10.05,82.4,4.7
